date,title,paragraph,year_month
2022-02-28,新增56例COVID-19確定病例，分別為9例本土及47例境外移入,"中央流行疫情指揮中心今(28)日公布國內新增56例COVID-19確定病例，分別為9例本土個案及47例境外移入(35例為航班落地採檢陽性)；另確診個案無新增死亡。
指揮中心表示，今日新增本土個案為3例男性、6例女性，年齡介於未滿5至60多歲；詳如新聞稿附件。
指揮中心說明，今日新增境外移入個案為27例男性、20例女性，年齡介於未滿5歲至70多歲，分別自美國(6例)、越南(3例)、德國、新加坡、印尼、加拿大、荷蘭、馬來西亞、香港及墨西哥(各1例)移入，另30例調查中。入境日介於今(2022)年2月12日至2月27日；詳如新聞稿附件。
指揮中心統計，截至目前國內累計6,307,048例新型冠狀病毒肺炎相關通報(含6,286,217例排除)，其中20,489例確診，分別為5,000例境外移入，15,435例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計134例移除為空號。2020年起累計853例COVID-19死亡病例，其中839例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市28例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另14例為境外移入。
指揮中心再次呼籲，民眾應落實手部衛生、咳嗽禮節及佩戴口罩等個人防護措施，減少不必要移動、活動或集會，避免出入人多擁擠的場所，或高感染傳播風險場域，並主動積極配合各項防疫措施，共同嚴守社區防線。


",2022-02
2022-02-27,新增60例COVID-19確定病例，分別為16例本土及44例境外移入,"中央流行疫情指揮中心今(27)日公布國內新增60例COVID-19確定病例，分別為16例本土個案及44例境外移入(20例為航班落地採檢陽性)；另確診個案無新增死亡。
指揮中心表示，今日新增本土個案為9例男性、7例女性，年齡介於未滿5至70多歲；詳如新聞稿附件。
指揮中心說明，今日新增境外移入個案為25例男性、19例女性，年齡介於未滿5歲至70多歲，分別自美國(7例)、越南及澳大利亞(各3例)、馬來西亞及印尼(各2例)、香港、德國、新加坡、千里達及托巴哥、薩爾瓦多、加拿大、英國、阿根廷、瑞士、義大利及孟加拉(各1例)移入，另16例調查中。入境日介於今(2022)年2月12日至2月26日；詳如新聞稿附件。
指揮中心統計，截至目前國內累計6,294,108例新型冠狀病毒肺炎相關通報(含6,273,335例排除)，其中20,433例確診，分別為4,953例境外移入，15,426例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計134例移除為空號。2020年起累計853例COVID-19死亡病例，其中839例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市28例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另14例為境外移入。
指揮中心再次呼籲，民眾應落實手部衛生、咳嗽禮節及佩戴口罩等個人防護措施，減少不必要移動、活動或集會，避免出入人多擁擠的場所，或高感染傳播風險場域，並主動積極配合各項防疫措施，共同嚴守社區防線。


",2022-02
2022-02-27,今(2022)年第三批採購Moderna疫苗122.46萬劑將於今(27)日晚間抵臺,"中央流行疫情指揮中心今(27)日表示，今年第三批採購Moderna疫苗122.46萬劑，將於今日晚間抵達桃園國際機場，完成通關程序後，直接運送至指定冷儲物流中心進行後續檢驗封緘作業，再提供COVID-19接種計畫所列實施對象接種。本批效期至2022年8月5日。
指揮中心說明，已於2021年7月22日與美國Moderna公司簽署2年共3,500萬劑COVID-19疫苗之供應合約，今年預定供應2,000萬劑疫苗，目前共有414.15萬劑到貨，分別為首批1月25日151.21萬劑、第二批2月15日140.48萬劑及本批122.46萬劑。

",2022-02
2022-02-26,新增69例COVID-19確定病例，分別為6例本土及63例境外移入,"中央流行疫情指揮中心今(26)日公布國內新增69例COVID-19確定病例，分別為6例本土個案及63例境外移入(40例為航班落地採檢陽性)；另確診個案無新增死亡。
指揮中心表示，今日新增本土個案為5例男性、1例女性，年齡介於未滿10至40多歲；詳如新聞稿附件。
指揮中心說明，今日新增境外移入個案為32例男性、31例女性，年齡介於未滿5歲至60多歲，分別自菲律賓(7例)、越南(6例)、美國(5例)、印尼(4例)、澳大利亞(3例)、泰國、香港、新加坡、加拿大及韓國(各2例)、馬來西亞、哈薩克、荷蘭、日本、俄羅斯及巴拉圭(各1例)移入，另22例調查中。入境日介於今(2022)年2月11日至2月25日；詳如新聞稿附件。
指揮中心統計，截至目前國內累計6,277,837例新型冠狀病毒肺炎相關通報(含6,257,088例排除)，其中20,373例確診，分別為4,909例境外移入，15,410例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計134例移除為空號。2020年起累計853例COVID-19死亡病例，其中839例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市28例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另14例為境外移入。
指揮中心再次呼籲，民眾應落實手部衛生、咳嗽禮節及佩戴口罩等個人防護措施，減少不必要移動、活動或集會，避免出入人多擁擠的場所，或高感染傳播風險場域，並主動積極配合各項防疫措施，共同嚴守社區防線。

",2022-02
2022-02-25,高雄港將試辦進港船舶提供船員COVID-19 PCR或快篩報告，請必要登船人員務必提高防疫意識並落實健康監測,"中央流行疫情指揮中心今(25)日表示，高雄港從業人員COVID-19群聚事件已屆兩個月，在航港、衛生單位及高雄市政府的共同努力下，此次疫情已告一段落。鑒於高雄市政府建議進港船舶船員應進行COVID-19快篩，指揮中心評估後，同意先於高雄港試辦，同時授權高雄市政府與航港主責單位辦理。未來高雄港進港船舶皆須提供船員COVID-19核酸檢驗(PCR)或快篩報告，若有陽性者，嚴格要求不得與登船人員接觸，並持續落實登船及港區作業防疫規範。
指揮中心強調，國際商港為關鍵海運運輸國門，對於進港船舶及港區作業之管理，我國航港、衛生單位已建立各項監督管理機制，要求國際船舶進港前均應詳實申報；船舶靠泊期間，過境不入境船員不得任意下船；若有船員健康異常，均由衛生單位評估處置，且嚴格要求船上陽性船員不得與登船人員接觸。
指揮中心指出，將持續對海港高風險第一線人員每日健康監測及定期篩檢，同時再次呼籲從業人員應深植防疫觀念，於登船作業過程中落實各項防疫措施，包含穿戴個人防護裝備、登離船實名制、儘速完成疫苗接種(含追加劑)、配合定期健康監測，如出現疑似症狀，立即主動通報就醫再次採檢等，以兼顧防疫安全與海運經濟。

",2022-02
2022-02-25,提供尚未接種第1、2劑COVID-19疫苗民眾200元(含)以下衛教品措施延長至3月31日止，呼籲民眾儘速接種,"中央流行疫情指揮中心今( 25 )日表示，因應Omicron新型變異株仍具威脅，國內本土疫情尚未平息，仍有社區傳播風險，呼籲尚未接種第1、2劑COVID-19疫苗之長者及高風險族群，儘速完成COVID-19疫苗基礎劑接種，以獲得保護力。
指揮中心進一步說明，目前我國COVID-19疫苗接種率第1劑約82.8%，第2劑約76.6%，惟75歲以上長者第1劑接種率仍僅約75%，第2劑接種率僅約69%，亟需再積極提升。為維護長者及高風險族群健康，降低因感染COVID-19造成之重症、住院或死亡風險，長者及其他 COVID-19感染後容易產生嚴重併發症之族群，若尚未接種1、2劑，於其身體狀況較穩定時，請家屬協助陪同至各地方政府衛生局安排或指定之合約醫療院所，儘速完成COVID-19疫苗基礎劑接種。
指揮中心強調，疫苗接種後可能發生副作用，通常輕微，並於數天內消失，且隨年齡層增加而減少，若擔心接種疫苗後所產生之副作用，可先向醫師諮詢評估之後，選擇合適的疫苗接種。
指揮中心表示，為鼓勵18歲以上尚未接種1、2劑COVID-19疫苗儘速踴躍前往接種，延長地方政府提供200元(含)以下衛教品之措施，期限至今(2022)年3月31日止，請民眾踴躍儘速前往接種，以獲得保護力。民眾可透過「COVID-19疫苗防治一網通」( https://antiflu.cdc.gov.tw/Covid19 )或地方政府衛生局公告，查詢鄰近合約醫療院所提供施打之疫苗廠牌及接種時間，就近前往接種。18歲至未滿20歲民眾，如自行前往接種，請持家長簽具之意願同意書，若由家長陪同前往接種，請本人與家長於現場共同簽署意願同意書。
指揮中心提醒，依我國衛生福利部傳染病防治諮詢會預防接種組(ACIP)建議，接種COVID-19疫苗應與流感疫苗等其他疫苗間隔至少7天，亦請民眾前往接種COVID-19疫苗前，應備妥健保卡或其他可證明身分之證件。如為接種第2劑COVID-19疫苗者，請記得攜帶「COVID-19疫苗接種紀錄卡」，並於接種前評估時，說明過往疫苗接種史，以利醫生評估。
指揮中心進一步提醒，近期天氣多變，近期身體具狀況或慢性病情不穩定的民眾，請於身體狀況較穩定後就近前往接種。接種後亦請多加留意身體狀況，多喝水多休息，並請家人協助注意，如有持續發燒超過48小時、嚴重過敏反應如呼吸困難、氣喘、眩暈、心跳加速、全身紅疹等不適症狀，應儘速就醫釐清病因。


",2022-02
2022-02-25,新增68例COVID-19確定病例，分別為3例本土及65例境外移入,"中央流行疫情指揮中心今(25)日公布國內新增68例COVID-19確定病例，分別為3例本土個案及65例境外移入(21例為航班落地採檢陽性)；另確診個案中新增1例死亡。
指揮中心表示，今日新增本土個案為2例男性、1例女性，年齡介於30多歲至60多歲；詳如新聞稿附件。
指揮中心說明，今日新增境外移入個案為30例男性、33例女性、2例調查中，年齡介於未滿5歲至70多歲，分別自美國及印尼(各8例)、菲律賓(6例)、印度及越南(各4例)、香港(3例)、馬來西亞(2例)、加拿大、巴基斯坦、阿根廷、德國、馬爾他、衣索比亞、宏都拉斯、比利時、蒙古、法國、巴西、帛琉及英國(各1例)移入；另17例調查中。入境日介於今(2022)年1月13日至2月24日；詳如新聞稿附件。
指揮中心表示，今日新增1例死亡個案(案18815)，為60多歲本國籍男性，具慢性病史，為今年1月30日公布之菲律賓境外移入個案，1月28日入境時因身體不適直接送醫，個案具呼吸困難、咳嗽、全身倦怠等症狀，診斷為肺炎，同日採檢確診並安排住院隔離治療，未解除隔離，於2月23日死亡。
指揮中心統計，截至目前國內累計6,255,140例新型冠狀病毒肺炎相關通報(含6,234,508例排除)，其中20,304例確診，分別為4,846例境外移入，15,404例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計134例移除為空號。2020年起累計853例COVID-19死亡病例，其中839例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市28例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另14例為境外移入。
指揮中心再次呼籲，民眾應落實手部衛生、咳嗽禮節及佩戴口罩等個人防護措施，減少不必要移動、活動或集會，避免出入人多擁擠的場所，或高感染傳播風險場域，並主動積極配合各項防疫措施，共同嚴守社區防線。


",2022-02
2022-02-24,自3月1日至3月31日適度放寬防疫措施，並調整相關規定，請民眾自主落實防疫措施，共同維護國內社區安全,"中央流行疫情指揮中心今(24)日表示，考量國內疫情目前已趨緩並且穩定控制，為兼顧與維持國內防疫量能、社會經濟活動及有效控管風險，經評估Omicron變異株特性、疫苗覆蓋率、醫療量能整備狀況，及國際防疫措施開放情形等，宣布今(2022)年3月1日至3月31日，將適度放寬防疫措施，相關規定調整如下：
一、放寬戴口罩規定，增加4種例外情形。除例外情形時得免戴口罩，外出應全程佩戴口罩：
(一)唱歌時，維持須戴口罩。
(二)下列場合得免戴口罩，但應隨身攜帶口罩，且如本身有相關症狀或與不特定對象無法保持社交距離時，仍應戴口罩：
1.於室內外從事運動時。
2.於室內外拍攝個人/團體照時。
3.自行開車，車內均為同住家人，或無同車者時。
4.直播、錄影、主持、報導、致詞、演講、講課等談話性質工作或活動之正式拍攝或進行時。
5.農林漁牧工作者於空曠處(如：田間、魚塭、山林)工作。
6.於山林(含森林遊樂區)、海濱活動。
7.於溫/冷泉、烤箱、水療設施、三溫暖、蒸氣室、水域活動等易使口罩潮濕之場合。
(三)外出時有飲食需求，得免戴口罩。
(四)於指揮中心或主管機關指定之場所或活動(如：藝文表演/劇組/電視主播等演出人員正式拍攝演出時、運動競賽之參賽選手及裁判於比賽期間等)，如符合指揮中心或主管機關之相關防疫措施，得暫時脫下口罩。
二、營業場所及公共場域(含交通運輸)應嚴格遵守：實聯制、量體溫、加強環境清消、員工健康管理、 確診事件即時應變。
三、賣場、超市、市場：依營業場所/公共場域防疫措施，不另要求人流管制；開放試吃。
四、高鐵、臺鐵、公路客運、船舶(固定餐飲區除外)、國內航班：於運具內（車廂、船舶、航空器）開放飲食。
五、餐飲場所：嚴格落實實聯制、量體溫、提供洗手設備及消毒用品；宴席開放逐桌敬酒敬茶。違反上述實聯制等措施者依法裁處並限期改善，未完成改善者，不得提供內用服務。
六、宗教場所、宗教集會活動：依內政部規定之防疫措施辦理。
指揮中心呼籲，防疫工作人人有責，請民眾自主落實防疫措施，維持個人衛生好習慣，戴口罩、勤洗手、保持社交距離；出入公共場域落實實聯制、體溫量測等，降低病毒傳播風險，保護自己也保護他人，共同維護國內社區安全。

",2022-02
2022-02-24,自3月7日零時起，確定病例之密切接觸者居家隔離天數縮短為10天,"中央流行疫情指揮中心今(24)日表示，自今(2022)年3月7日零時起，研判為確定病例之密切接觸者，居家隔離天數縮短為10天。
指揮中心說明，為與國際接軌並兼顧維持國內防疫量能、社會經濟活動及有效控管風險，經評估國內疫情狀況及參考國際防疫措施，調整密切接觸者相關措施如下：
一、 居家隔離天數為10天，以最後接觸日為第0天，開始計算居家隔離至滿10天(非以匡列日計算)，隔離期滿前檢驗陰性者，解除隔離，並自第11天起接續自主健康管理7天。
二、 隔離措施維持以「1人1室」為原則。但經指揮中心專案核定、地方政府報經指揮中心同意或經地方政府衛生單位評估家中環境不適合者(如：居家隔離者無法有獨立的房間及廁所、住家環境有受病毒汙染之虞且難以即時確實清消，可能有環境汙染造成疾病傳播之風險等)，可公費送集中檢疫所隔離。
三、 檢測措施：
(一) PCR檢測：
1. 接觸者經疫調匡列時。
2. 隔離期間出現相關症狀時。
3. 隔離期滿前(與確定病例最後接觸次日起算第10天)。
(二) 新增公費家用快篩試劑檢測(計2次)：
1. 與確定病例最後接觸次日起第5-7天。
2. 自主健康管理第6-7天。
3. 家用快篩試劑由各地方政府配發予居家隔離者。
指揮中心強調，隔離措施為阻絕病毒傳播重要方法，籲請民眾務必配合、遵守相關規範，共同維護社區安全。

",2022-02
2022-02-24,兼顧住宿式長照機構住民探視之需求，3月1日起調整全國住宿式長照機構訪客管理措施,"中央流行疫情指揮中心今(24)日表示，考量國內 COVID-19疫情維持穩定，為兼顧住宿式長照機構住民探視之需求，自本(2022)年3月1日起調整全國住宿式長照機構訪客管理措施，重點說明如下：
一、臺北市、新北市、桃園市及高雄市：維持現行管制措施，除例外情形暫停探視。例外情形經機構同意可探視者，應出具訪視前3天內採檢之自費篩檢陰性證明。
二、除臺北市、新北市、桃園市及高雄市以外縣市：有條件開放探視。訪客須出具訪視前3天內採檢之自費篩檢陰性證明。
三、自費篩檢陰性證明包含COVID-19抗原快篩或COVID-19病毒核酸檢驗，使用家用試劑自行檢測或由醫事人員採檢檢測皆可；機構不得限制僅可使用特定檢測方式之陰性證明。若訪客為「確診者取得解除隔離治療通知書且距發病日未滿3個月者」或「已完成COVID-19疫苗追加劑達14天(含)以上者」，可免除篩檢。
前述探視應遵循「衛生福利機構與榮譽國民之家因應COVID-19訪客管理作業原則」辦理，包括：落實預約制、實聯制、詢問TOCC及限制有感染症狀者進入、每位住民每次訪客人數不可超過3人、不同住民訪客間維持社交距離、進入住房探視每住房每時段原則上僅開放1位住民接受訪客探視、全程佩戴口罩等。
指揮中心將持續監測國內外疫情發展，滾動修正相關應變策略。請各類住宿式長照機構務必落實執行「第2級疫情警戒期間住宿式長照機構COVID-19強化管制措施」及指揮中心公布之COVID-19相關措施指引，並鼓勵完整接種COVID-19疫苗基礎劑12週後之機構工作人員與住民儘速接種1劑追加劑疫苗，以提升個人及群體免疫力，確保工作人員及住民健康安全。

",2022-02
